Week Begin Date,Week Number,Weekly Inflows (MG),Weekly Drinking Water Withdrawals (MG)
1/1/1990,1,2061.5,261.4
1/8/1990,2,3216.9,275.2
1/15/1990,3,950.5,284.8
1/22/1990,4,3737.1,277.1
1/29/1990,5,1707.5,272.8
2/5/1990,6,3625.1,279.4
2/12/1990,7,3880.9,267.3
2/19/1990,8,3626.0,273.1
2/26/1990,9,1581.6,265.5
3/5/1990,10,1170.4,283.8
3/12/1990,11,961.6,281.0
3/19/1990,12,905.1,282.9
3/26/1990,13,3111.4,269.4
4/2/1990,14,4776.3,277.3
4/9/1990,15,2019.3,273.1
4/16/1990,16,1695.2,282.3
4/23/1990,17,872.9,300.9
4/30/1990,18,4477.0,276.0
5/7/1990,19,2652.4,276.4
5/14/1990,20,875.6,295.0
5/21/1990,21,742.9,289.6
5/28/1990,22,2823.2,302.9
6/4/1990,23,920.9,315.9
6/11/1990,24,669.1,341.4
6/18/1990,25,424.2,332.5
6/25/1990,26,249.8,354.8
7/2/1990,27,149.0,352.5
7/9/1990,28,218.8,342.9
7/16/1990,29,339.2,318.7
7/23/1990,30,86.5,337.6
7/30/1990,31,48.6,357.4
8/6/1990,32,71.9,291.5
8/13/1990,33,224.2,302.2
8/20/1990,34,180.9,312.8
8/27/1990,35,100.2,307.3
9/3/1990,36,29.8,319.4
9/10/1990,37,24.2,335.0
9/17/1990,38,13.2,347.7
9/24/1990,39,8.8,321.9
10/1/1990,40,9.7,314.8
10/8/1990,41,728.7,304.7
10/15/1990,42,193.5,271.0
10/22/1990,43,5203.3,274.2
10/29/1990,44,319.7,276.7
11/5/1990,45,675.4,272.1
11/12/1990,46,444.2,269.8
11/19/1990,47,262.3,248.2
11/26/1990,48,1024.3,258.3
12/3/1990,49,2152.3,282.3
12/10/1990,50,667.7,261.2
12/17/1990,51,1262.3,257.3
12/24/1990,52,1613.3,258.9
1/1/1991,53,2258.2,250.5
1/8/1991,54,9703.9,257.4
1/15/1991,55,3226.3,263.3
1/22/1991,56,1329.2,259.0
1/29/1991,57,741.1,266.2
2/5/1991,58,652.0,259.7
2/12/1991,59,601.3,265.2
2/19/1991,60,901.9,270.4
2/26/1991,61,3418.4,264.0
3/5/1991,62,1588.3,260.8
3/12/1991,63,1347.8,248.2
3/19/1991,64,1723.5,271.3
3/26/1991,65,5424.5,262.5
4/2/1991,66,1197.8,279.4
4/9/1991,67,682.4,281.9
4/16/1991,68,1476.1,273.4
4/23/1991,69,763.1,281.6
4/30/1991,70,831.5,286.2
5/7/1991,71,448.4,305.8
5/14/1991,72,384.4,320.3
5/21/1991,73,572.1,291.6
5/28/1991,74,428.9,316.6
6/4/1991,75,189.4,316.6
6/11/1991,76,113.3,339.2
6/18/1991,77,119.8,305.8
6/25/1991,78,69.4,351.8
7/2/1991,79,61.1,325.2
7/9/1991,80,45.0,337.6
7/16/1991,81,25.1,351.3
7/23/1991,82,48.9,337.5
7/30/1991,83,50.0,323.2
8/6/1991,84,52.9,326.4
8/13/1991,85,73.8,312.9
8/20/1991,86,39.2,327.0
8/27/1991,87,42.5,311.2
9/3/1991,88,22.6,329.5
9/10/1991,89,15.4,361.9
9/17/1991,90,18.7,329.1
9/24/1991,91,1031.1,289.8
10/1/1991,92,250.0,295.4
10/8/1991,93,102.7,304.0
10/15/1991,94,198.0,270.8
10/22/1991,95,58.5,290.1
10/29/1991,96,40.0,288.9
11/5/1991,97,68.4,289.1
11/12/1991,98,86.4,312.6
11/19/1991,99,47.8,289.1
11/26/1991,100,60.3,273.6
12/3/1991,101,192.0,267.2
12/10/1991,102,105.3,273.6
12/17/1991,103,96.8,251.9
12/24/1991,104,876.6,270.6
1/1/1992,105,10210.9,235.0
1/8/1992,106,692.2,255.1
1/15/1992,107,334.0,253.2
1/22/1992,108,529.0,281.1
1/29/1992,109,371.2,269.3
2/5/1992,110,261.2,277.8
2/12/1992,111,382.2,274.9
2/19/1992,112,461.5,271.8
2/26/1992,113,3531.7,274.0
3/4/1992,114,3118.1,244.4
3/11/1992,115,1802.2,265.8
